id_area_construida;nombre;id_sede;num_pisos;mts2;mts2_acad;mts2_no_acad;estado
1;ANFITEATRO;7;1;353.780;353.780;0.000;A
2;AUDITORIO LUIS SANTANDER;7;3;380.490;0.000;380.490;A
3;BIBLIOTECA ALBERTO QUIJANO;7;1;1068.400;1068.400;0.000;A
4;BIOTERIO;7;2;28.340;28.340;0.000;A
5;BLOQUE 1;7;4;7311.360;7311.360;0.000;A
6;BLOQUE 2;7;4;514.920;514.920;0.000;A
7;BLOQUE 3;7;3;514.920;514.920;0.000;A
8;BLOQUE 6;7;3;749.090;749.090;0.000;A
9;BLOQUE 7 ;7;2;483.510;483.510;0.000;A
10;BLOQUE 8;7;3;1287.000;1287.000;0.000;A
11;BLOQUE 9;7;2;5027.400;5027.400;0.000;A
12;BLOQUE ADMINISTRATIVO;7;1;641.830;0.000;641.830;A
13;CAFETERIA NUEVA;7;1;815.900;533.800;282.100;A
14;CANCHA DE FUTBOL 1 ;7;1;544.880;0.000;544.880;A
15;CANCHA DE FUTBOL 2;7;1;14000.000;0.000;14000.000;A
16;CASETA DEPOSITOS DE GAS;7;1;1696.120;0.000;1696.120;A
17;CLINICA VETERINARIA;7;1;9.000;0.000;9.000;A
18;COLISEO ADRIANA BENITEZ;7;1;796.310;796.310;0.000;A
19;CUARTO DE BOMBAS;7;1;2078.610;1023.000;1055.610;A
20;PESCEBRERA;7;1;8.000;0.000;8.000;A
21;CUARTO DE TANQUES;7;1;74.000;0.000;74.000;A
22;FORMACION INTEGRAL;7;1;83.060;0.000;83.060;A
23;INSECTARIO;7;1;247.400;247.400;0.000;A
24;INVERNADERO 1;7;1;169.870;169.870;0.000;A
25;INVERNADERO 2;7;1;249.200;249.200;0.000;A
26;LAB ESPECIALIZADOS;7;2;86.900;86.900;0.000;A
27;LAB. PRODUCCION ANIMAL;7;1;623.260;623.260;0.000;A
28;LAB Y CREMATORIO MEDICINA VETERINARIA;7;1;316.690;316.690;0.000;A
29;LAB. PRODUCCION GENETICA;7;1;56.000;56.000;0.000;A
30;LABORATORIOS ING. CIVIL;7;2;155.000;155.000;0.000;A
31;PARQUEADERO BLOQUE ADMINISTRATIVO;7;1;765.530;765.530;0.000;A
32;PARQUEADERO VEHICULAR;7;1;746.520;0.000;746.520;A
33;PLANTA ELECTRICA;7;1;2080.000;0.000;2080.000;A
34;PLANTA PILOTO;7;1;39.120;0.000;39.120;A
35;PLAZOLETA;7;1;307.330;307.330;0.000;A
36;PUNTO DE VENTAS CARNICOS Y LACTEOS;7;1;1232.000;0.000;1232.000;A
37;PSICOLOGIA;7;1;164.000;102.000;62.000;A
38;SINAPSIS;7;1;167.080;167.080;0.000;A
39;UNIDAD MEDICA;7;1;50.370;50.370;0.000;A
40;VIAS;7;1;425.950;245.500;180.450;A
41;KIOSCO INTERNET 1;7;1;6045.870;0.000;6045.870;A
42;KIOSCO INTERNET 2;7;1;98.000;98.000;0.000;A
43;BLOQUE TECNOLOGICO;7;6;98.000;98.000;0.000;A
44;ACCESO PEATONAL;6;0;366.000;0.000;366.000;A
45;BLOQUE  FAC. EDUCACION;6;5;752.780;752.780;0.000;A
46;BLOQUE DE AULAS;6;5;634.000;634.000;0.000;A
47;DOCENCIA UNIVERSITARIA;6;1;155.700;81.780;73.920;A
48;CAFETERIA NUEVA;6;1;1130.960;548.280;582.680;A
49;CANCHA POLIDEPORTIVO;6;0;600.000;0.000;600.000;A
50;CANCHA FUTBOLL 5;6;0;600.000;0.000;600.000;A
51;CASETA CELADOR;6;1;28.060;7.400;20.660;A
52;CENTRO DE IDIOMAS;6;3;338.000;338.000;0.000;A
53;FONDO DE SALUD;6;1;1121.600;534.330;587.270;A
54;GIMNASIO FONDO DE SALUD;6;1;284.710;146.640;138.070;A
55;MOTOBOMBA;6;0;5.900;0.000;5.900;A
56;PARQUEADERO;6;0;1923.260;0.000;1923.260;A
57;BLOQUE FAC. POSGRADOS;6;3;373.300;373.300;0.000;A
58;SEDE JUBILADOS;6;2;75.000;0.000;75.000;A
59;VIAS;6;0;674.180;0.000;674.180;A
